customer_id,region,device_type,subscription_plan,account_age_days,monthly_spend,num_orders_last_90d,avg_order_value,support_tickets_raised,days_since_last_login,pages_per_session,churned
CUST00001,East,Mobile,Premium,1189,66.24,2,50.1,1,161,9.9,0
CUST00002,North,Mobile,Free,1069,70.3,4,136.62,1,229,11.2,1
CUST00003,West,Desktop,Free,108,,8,53.97,0,258,6.9,0
CUST00004,Central,Desktop,Free,1297,173.46,5,132.2,3,138,12.4,0
CUST00005,Central,Mobile,Premium,707,7.23,3,5.0,1,4,7.5,0
CUST00006,South,Desktop,Basic,655,58.18,2,71.67,4,356,11.2,1
CUST00007,East,Desktop,Free,588,,5,117.26,0,162,9.6,1
CUST00008,East,Desktop,Basic,19,19.52,4,132.3,2,198,4.3,0
CUST00009,East,Tablet,Free,845,249.39,3,170.15,1,55,6.1,1
CUST00010,East,Mobile,Enterprise,211,93.35,7,183.42,1,321,12.1,0
CUST00011,North,Mobile,Free,843,167.81,10,39.53,1,206,9.0,0
CUST00012,North,Mobile,Basic,454,46.96,8,177.68,1,101,12.8,0
CUST00013,North,Mobile,Enterprise,1049,14.39,6,85.18,1,162,11.2,0
CUST00014,West,Mobile,Basic,1040,144.31,4,,1,238,3.4,1
CUST00015,South,Desktop,Basic,1092,,3,192.57,3,53,2.4,0
CUST00016,East,Mobile,Basic,1172,83.8,8,93.46,1,121,4.7,0
CUST00017,North,Desktop,Basic,724,111.46,7,152.67,1,363,7.7,0
CUST00018,North,Mobile,Basic,1077,53.38,4,171.05,1,322,8.5,1
CUST00019,North,Mobile,Premium,783,32.43,6,34.36,2,11,4.4,1
CUST00020,South,Mobile,Premium,1386,45.62,11,50.57,0,115,5.4,0
CUST00021,Central,Mobile,Premium,330,72.01,3,,1,23,10.7,1
CUST00022,North,Mobile,Free,1169,50.9,4,54.37,1,253,5.4,1
CUST00023,North,Desktop,Basic,1270,,3,120.17,0,58,5.5,1
CUST00024,West,Desktop,Basic,864,15.97,4,214.58,1,240,,1
CUST00025,North,Mobile,Free,1364,12.49,6,185.58,2,128,10.2,1
CUST00026,North,Tablet,Basic,923,252.86,2,102.42,1,144,6.2,0
CUST00027,East,Desktop,Free,110,156.47,6,42.96,0,110,5.5,1
CUST00028,West,Mobile,Premium,1310,37.61,9,217.67,2,130,10.5,0
CUST00029,North,Mobile,Basic,938,27.34,7,132.05,0,314,11.9,1
CUST00030,East,Desktop,Premium,857,152.73,1,69.34,0,133,5.5,0
CUST00031,West,Mobile,Basic,521,0.54,10,68.49,1,18,11.7,1
CUST00032,North,Mobile,Free,321,71.24,4,128.38,2,364,8.9,1
CUST00033,East,Mobile,Basic,751,380.64,10,89.4,1,362,8.2,1
CUST00034,South,Mobile,Basic,722,52.04,1,275.01,0,76,13.6,1
CUST00035,South,Desktop,Basic,1314,3.93,9,130.53,1,187,9.3,1
CUST00036,Central,Mobile,Free,458,16.24,0,73.49,3,267,10.4,0
CUST00037,North,Desktop,Free,845,157.59,2,139.52,1,234,6.5,1
CUST00038,North,Mobile,Free,614,38.1,4,206.35,0,344,15.1,0
CUST00039,East,Tablet,Premium,264,,2,120.82,1,174,1.0,0
CUST00040,North,Mobile,Free,1237,19.95,7,118.36,1,34,9.8,1
CUST00041,North,Mobile,Free,892,44.94,8,55.17,2,73,13.7,0
