customer_id,churn_probability,risk_tier,top_reason_codes
CUST00001,0.3993926429930634,low,subscription_plan_Premium(-); account_age_days(-); days_since_last_login(-)
CUST00002,0.5294434354550782,high,subscription_plan_Free(+); account_age_days(-); days_since_last_login(+)
CUST00003,0.6513428242725393,high,subscription_plan_Free(+); missingindicator_monthly_spend(+); account_age_days(+)
CUST00004,0.537333488616438,high,subscription_plan_Free(+); account_age_days(-); device_type_Desktop(+)
CUST00005,0.37422335387886496,low,days_since_last_login(-); subscription_plan_Premium(-); region_Central(+)
CUST00006,0.5634861017760158,high,days_since_last_login(+); region_South(-); support_per_order(+)
CUST00007,0.5889786031056095,high,subscription_plan_Free(+); missingindicator_monthly_spend(+); device_type_Desktop(+)
CUST00008,0.5308030941774409,high,account_age_days(+); device_type_Desktop(+); subscription_plan_Basic(+)
CUST00009,0.44134838859538705,low,subscription_plan_Free(+); days_since_last_login(-); device_type_Tablet(-)
CUST00010,0.4629915418383833,medium,subscription_plan_Enterprise(-); days_since_last_login(+); account_age_days(+)
CUST00011,0.5269573419952547,high,subscription_plan_Free(+); days_since_last_login(+); region_North(-)
CUST00012,0.46890499470607205,medium,days_since_last_login(-); subscription_plan_Basic(+); account_age_days(+)
CUST00013,0.3691878428428737,low,subscription_plan_Enterprise(-); account_age_days(-); region_North(-)
CUST00014,0.45445880079966655,low,missingindicator_avg_order_value(-); days_since_last_login(+); subscription_plan_Basic(+)
CUST00015,0.45475447673469827,low,missingindicator_monthly_spend(+); days_since_last_login(-); region_South(-)
CUST00016,0.43164089549883194,low,account_age_days(-); days_since_last_login(-); subscription_plan_Basic(+)
CUST00017,0.5561649993148501,high,days_since_last_login(+); device_type_Desktop(+); subscription_plan_Basic(+)
CUST00018,0.505938768384825,medium,days_since_last_login(+); subscription_plan_Basic(+); account_age_days(-)
CUST00019,0.35847711530514276,low,days_since_last_login(-); subscription_plan_Premium(-); region_North(-)
CUST00020,0.3328959494181581,low,subscription_plan_Premium(-); region_South(-); account_age_days(-)
CUST00021,0.3660127071433932,low,days_since_last_login(-); missingindicator_avg_order_value(-); subscription_plan_Premium(-)
CUST00022,0.524165385606349,high,subscription_plan_Free(+); days_since_last_login(+); account_age_days(-)
CUST00023,0.45698725622650677,low,missingindicator_monthly_spend(+); days_since_last_login(-); account_age_days(-)
CUST00024,0.5697176242141069,high,missingindicator_pages_per_session(+); days_since_last_login(+); device_type_Desktop(+)
CUST00025,0.48558317629027703,medium,subscription_plan_Free(+); account_age_days(-); days_since_last_login(-)
CUST00026,0.42076650710999075,low,device_type_Tablet(-); subscription_plan_Basic(+); days_since_last_login(-)
CUST00027,0.548845560882669,high,subscription_plan_Free(+); account_age_days(+); days_since_last_login(-)
CUST00028,0.4035530868271179,low,subscription_plan_Premium(-); account_age_days(-); region_West(+)
CUST00029,0.5070773475407585,medium,days_since_last_login(+); subscription_plan_Basic(+); account_age_days(-)
CUST00030,0.41423664012271144,low,subscription_plan_Premium(-); device_type_Desktop(+); days_since_last_login(-)
CUST00031,0.4483538566484461,low,days_since_last_login(-); subscription_plan_Basic(+); region_West(+)
CUST00032,0.6113927673981298,high,subscription_plan_Free(+); days_since_last_login(+); account_age_days(+)
CUST00033,0.533611902015469,high,days_since_last_login(+); subscription_plan_Basic(+); support_per_order(-)
CUST00034,0.40751820608803246,low,region_South(-); days_since_last_login(-); subscription_plan_Basic(+)
CUST00035,0.4391088025905689,low,region_South(-); account_age_days(-); device_type_Desktop(+)
CUST00036,0.6609828349611833,high,support_per_order(+); subscription_plan_Free(+); days_since_last_login(+)
CUST00037,0.5629877493856529,high,subscription_plan_Free(+); device_type_Desktop(+); days_since_last_login(+)
CUST00038,0.5873678293884559,high,subscription_plan_Free(+); days_since_last_login(+); pages_per_session(+)
CUST00039,0.4463882636929366,low,missingindicator_monthly_spend(+); subscription_plan_Premium(-); device_type_Tablet(-)
CUST00040,0.4477041412305118,low,subscription_plan_Free(+); days_since_last_login(-); account_age_days(-)
CUST00041,0.48386650769979855,medium,subscription_plan_Free(+); days_since_last_login(-); account_age_days(-)
CUST00042,0.4889882185746652,medium,subscription_plan_Basic(+); account_age_days(-); days_since_last_login(+)
CUST00043,0.5664357501679724,high,subscription_plan_Free(+); days_since_last_login(-); account_age_days(+)
CUST00044,0.4724305342893512,medium,subscription_plan_Free(+); days_since_last_login(-); support_per_order(-)
CUST00045,0.3320666524974569,low,days_since_last_login(-); missingindicator_avg_order_value(-); subscription_plan_Premium(-)
CUST00046,0.5342070203249621,high,subscription_plan_Free(+); days_since_last_login(+); missingindicator_recency_ratio(-)
CUST00047,0.41702066363805657,low,region_South(-); days_since_last_login(-); device_type_Desktop(+)
CUST00048,0.5526823134491259,high,subscription_plan_Free(+); device_type_Tablet(-); account_age_days(+)
CUST00049,0.4820336544865026,medium,subscription_plan_Free(+); days_since_last_login(-); account_age_days(-)
CUST00050,0.38122209068182117,low,days_since_last_login(-); account_age_days(-); subscription_plan_Basic(+)
CUST00051,0.4267936048291288,low,account_age_days(-); days_since_last_login(-); subscription_plan_Basic(+)
CUST00052,0.4183916358764807,low,days_since_last_login(+); subscription_plan_Premium(-); region_South(-)
CUST00053,0.5158110274756798,high,days_since_last_login(+); subscription_plan_Basic(+); region_North(-)
CUST00054,0.6037908846796209,high,subscription_plan_Free(+); days_since_last_login(+); account_age_days(+)
CUST00055,0.5348829845788525,high,subscription_plan_Free(+); days_since_last_login(+); account_age_days(-)
CUST00056,0.497031512263668,medium,subscription_plan_Basic(+); days_since_last_login(+); support_per_order(+)
CUST00057,0.4746520737184044,medium,subscription_plan_Free(+); days_since_last_login(-); missingindicator_avg_order_value(-)
CUST00058,0.6370414032996573,high,subscription_plan_Free(+); days_since_last_login(+); missingindicator_pages_per_session(+)
CUST00059,0.5345701394283375,high,subscription_plan_Free(+); days_since_last_login(-); device_type_Desktop(+)
CUST00060,0.43694391057261706,low,subscription_plan_Premium(-); region_South(-); account_age_days(+)
CUST00061,0.38724224627147363,low,subscription_plan_Premium(-); region_South(-); device_type_Desktop(+)
CUST00062,0.46410599453837725,medium,subscription_plan_Free(+); device_type_Tablet(-); days_since_last_login(-)
CUST00063,0.4715826402584993,medium,days_since_last_login(+); subscription_plan_Premium(-); region_West(+)
CUST00064,0.4282335758573642,low,region_South(-); account_age_days(-); days_since_last_login(+)
